treatment_svy,visit_store,npm_mean,carbon_mean,npm_se,carbon_se
control,1,57.240627,9.1485672,.48688617,.44748494
control,2,57.8027,9.4710836,.47188416,.49471188
control,3,58.097359,9.7624636,.48387802,.6154772
health,1,58.605453,8.0172186,.43711209,.39532954
health,2,63.297226,8.1927443,.51420665,.44034255
health,3,64.923988,7.8021016,.48554561,.48930824
environment,1,56.998077,8.4519968,.47886625,.41791183
environment,2,60.030602,5.5969691,.44424114,.36770606
environment,3,60.323692,5.4869676,.4667837,.40104315
combined,1,57.958431,8.2293234,.48898607,.38194478
combined,2,62.156532,5.8613858,.55799717,.35346127
combined,3,63.430252,5.9233294,.55919713,.39987361
