variable,group,prop
healthlabel_help,overall,.7407766990291262
healthlabel_help,control,.7633587786259542
healthlabel_help,climate,.7230769230769231
healthlabel_help,health,.7461538461538462
healthlabel_help,combined,.7298387096774194
healthlabel_like,overall,.7067961165048544
healthlabel_like,control,.7061068702290076
healthlabel_like,climate,.676923076923077
healthlabel_like,health,.75
healthlabel_like,combined,.6935483870967742
healthlabel_approve,overall,.8650485436893204
healthlabel_approve,control,.8816793893129771
healthlabel_approve,climate,.8615384615384616
healthlabel_approve,health,.8576923076923076
healthlabel_approve,combined,.8588709677419355
climatelabel_help,overall,.6679611650485436
climatelabel_help,control,.6679389312977099
climatelabel_help,climate,.6923076923076923
climatelabel_help,health,.6346153846153846
climatelabel_help,combined,.6774193548387096
climatelabel_like,overall,.6271844660194175
climatelabel_like,control,.6068702290076335
climatelabel_like,climate,.6423076923076924
climatelabel_like,health,.6192307692307693
climatelabel_like,combined,.6411290322580645
climatelabel_approve,overall,.7815533980582524
climatelabel_approve,control,.7977099236641222
climatelabel_approve,climate,.7961538461538461
climatelabel_approve,health,.7346153846153847
climatelabel_approve,combined,.7983870967741935
healthswap_help,overall,.7495145631067961
healthswap_help,control,.7404580152671756
healthswap_help,climate,.7615384615384615
healthswap_help,health,.7692307692307693
healthswap_help,combined,.7258064516129032
healthswap_like,overall,.6970873786407767
healthswap_like,control,.7175572519083969
healthswap_like,climate,.7192307692307692
healthswap_like,health,.7076923076923077
healthswap_like,combined,.6411290322580645
healthswap_approve,overall,.8475728155339806
healthswap_approve,control,.8587786259541985
healthswap_approve,climate,.8461538461538461
healthswap_approve,health,.8653846153846154
healthswap_approve,combined,.8185483870967742
climateswap_help,overall,.6873786407766991
climateswap_help,control,.7137404580152672
climateswap_help,climate,.7076923076923077
climateswap_help,health,.65
climateswap_help,combined,.6774193548387096
climateswap_like,overall,.6407766990291263
climateswap_like,control,.6679389312977099
climateswap_like,climate,.6384615384615384
climateswap_like,health,.6269230769230769
climateswap_like,combined,.6290322580645161
climateswap_approve,overall,.7679611650485437
climateswap_approve,control,.7824427480916031
climateswap_approve,climate,.7769230769230769
climateswap_approve,health,.7423076923076923
climateswap_approve,combined,.7701612903225806
